Symbol,baseMean,log2FoldChange,padj
Slc13a2,3.229537438,-0.256701684,
Kctd10,2525.44906,-0.086685768,0.680176837
Poldip2,2713.229629,0.046526568,0.839186822
Sebox,0.518696125,0.346931356,
Ift20,637.9695939,0.05021024,0.81854892
Col6a1,11327.53504,-0.428401944,0.011733213
Pcbp3,328.0189685,-0.104048724,0.682271583
Lgals9,1531.549896,-0.33789393,0.040339658
Araf,1909.083337,0.010265283,0.956604244
Cfp,1796.978823,-0.149198137,0.704356459
Timp1,65.28418974,0.108511325,0.877202786
Uxt,323.8345714,0.122856296,0.650504547
Cnnm3,874.0599682,-0.097704708,0.625244356
Lman2l,1163.403958,-0.097974995,0.640134453
Mcm3ap,959.0755437,-0.068700903,0.675554735
Pcnt,810.3647467,0.415215998,0.12139797
Ftcd,6.716554954,0.493233428,
Mxd1,480.9726072,-0.011951054,0.979011579
Gmcl1,310.7796718,-0.012013585,0.968336065
Snrnp27,617.3371224,0.145996094,0.44242635
Oas1c,85.30686751,0.000712126,0.999283571
Oas1h,0.469234694,-0.044368267,
Ocrl,653.80202,-0.017939006,0.904211691
Calm1,10094.57984,-0.09099317,0.757221394
Agpat3,5959.291193,0.159387985,0.261809838
Slc26a3,2.664088383,1.880393119,
Sema6b,614.5385718,0.189329704,0.439234699
Uhrf1,62.73913889,-0.326807984,0.6463039
Dpp9,1237.435395,-0.050738403,0.810957485
Ramp2,3689.68496,-0.056720658,0.798407418
Lsr,147.666313,0.218635237,0.772875547
Gramd1a,1718.093811,0.162828775,0.377126388
Hpn,48.53294992,0.961798726,0.004338867
Gabrg1,0.097954331,0.577922156,
Ckb,1293.578562,0.286817854,0.056974573
Sp1,1721.804859,-0.056638277,0.77451437
Itgb7,257.5399052,0.288441948,0.462841394
Myg1,527.9652125,-0.118217299,0.368972092
Rarg,2025.705835,-0.330381086,0.227271799
Pfdn5,1778.319623,-0.066914315,0.521501903
Efnb2,296.9216762,-0.008332107,0.986346972
Rrp15,172.9965647,-0.185552719,0.487733368
Rnd2,460.8906831,0.13374062,0.719742823
Srr,1234.872424,-0.052400487,0.696012399
Sync,104.4143771,1.67843726,0.160871981
Fndc5,108.2678965,2.075168629,0.088305461
Acp5,9909.24404,-0.03164807,0.932312588
Cnn1,45.62604367,0.957270189,0.260609153
Fbxo9,1201.928606,0.109726753,0.552451913
Vps50,538.7072132,-0.052456961,0.827607891
Hars,1021.020815,-0.080510341,0.403588489
Zmat2,1096.301294,-0.029017966,0.846919679
Ube2c,9968.051464,2.63009361,0.112053259
Smg5,1470.565304,0.096032789,0.48156638
Cct3,1579.969493,-0.237763037,0.051894009
Glmp,2059.527919,-0.137874089,0.391237204
Mef2d,2769.340845,0.356608201,0.226022505
Tmem79,226.6710179,0.262786262,0.580590944
Snd1,2051.097382,-0.210097609,0.083134987
Col18a1,4522.222759,-0.635541942,0.000556831
Slc19a1,619.99768,-0.003052572,0.994131432
Kpnb1,4573.080553,-0.161113991,0.166639097
Npepps,2206.52505,-0.046032929,0.547582948
Tbx21,27.07700383,0.226845966,0.729518911
Mrpl10,1425.930383,-0.03744918,0.819066433
Cyp51,632.1420877,-0.01534003,0.984977637
Tcf25,6929.240331,-0.025501895,0.78071587
Tubb6,933.3783022,-0.151353748,0.653896851
Def8,893.6919699,0.145704257,0.490762603
Meox1,132.627847,-0.391288989,0.18607101
Sost,0.14178951,0.097030959,
